c0_corrected,c0_error,phi,v_obs,v_bar,radius_kpc,g_obs,g_N
171.33747528764417,,0.12767777527881383,105.0,92.41437821031963,4.77,7.48969784418983e-11,5.801827214538913e-11
106.83894759537982,,0.25384291377029716,112.0,86.89113015722607,5.44,7.472075025732911e-11,4.4973436129960744e-11
81.85114579449689,,0.3472786873866456,116.0,81.96657184486857,6.11,7.136394444898189e-11,3.563168917650378e-11
60.887623494540044,,0.47718217412590547,124.0,76.94565484808093,7.22,6.900971773158379e-11,2.6572663067772786e-11
41.555725731399114,,0.6657741503936657,135.0,69.3732001568329,9.33,6.329799759519706e-11,1.671498118599435e-11
34.450470901534445,,0.7624244102755957,140.0,65.31475790355499,11.1,5.7218592539396166e-11,1.2453853205116976e-11
31.64977132605144,,0.24365843039265075,32.0,25.080169457162764,1.95,1.7016468085813516e-11,1.0452746065772635e-11
34.95853388227311,,0.39917250800692133,57.6,38.64239769993575,3.88,2.7708774578909742e-11,1.2470977176607355e-11
44.19912056636272,49.178449323619134,0.22034946914300638,41.0,32.891774047624736,1.41,3.863248806092948e-11,2.4863345329858478e-11
38.00808795352385,21.417745018434356,0.38816236165945023,60.7,41.172943785937875,2.35,5.080583555108176e-11,2.3375454006425727e-11
30.798756524471838,11.314250506704328,0.606313379919032,86.8,47.33704785894448,5.17,4.722293605237856e-11,1.4044810217980752e-11
33.655881203203464,11.98987568863295,0.5820353354057369,89.4,49.95313904050475,6.11,4.2387510036880564e-11,1.3233917920856877e-11
33.80513258205654,11.643983636340488,0.5941622617925619,92.5,51.06229626642343,7.05,3.932768899123472e-11,1.198438199510027e-11
35.235246125046274,11.851225549316107,0.5868232647789946,94.7,52.661821085108706,7.99,3.637116875679823e-11,1.1247319843258383e-11
34.46721393501327,11.409597633428428,0.6027377822908646,96.3,52.706065115885856,8.92,3.368928533024886e-11,1.009160892966645e-11
36.41597118446908,11.860015014922192,0.5865168852550601,97.8,54.40236851461524,9.87,3.140252971060599e-11,9.716783841265027e-12
38.86382703250169,12.530766154293243,0.5642332657180366,98.8,56.197054193258204,10.79,2.931544714177514e-11,9.48439723298198e-12
41.27433610539226,13.23554554270532,0.5429332347903181,99.5,57.813621232370494,11.8,2.7187434779265572e-11,9.178726232191308e-12
42.358172896202824,13.572316868563577,0.5334331871115219,99.7,58.48278806623364,12.6,2.556370809287206e-11,8.796090125399912e-12
35.23262259361255,12.387747140954497,0.5992170543651065,97.6,53.605969816803054,2.84,1.0868894507681214e-10,3.2787783082161146e-11
40.52920599716179,13.679235033844122,0.5562074755115664,101.0,57.91132963419162,3.9,8.475829635907406e-11,2.786548099772338e-11
49.13254982080978,15.957265630128978,0.4956597715052006,105.0,63.96273055459718,4.74,7.537100995102422e-11,2.7969179580574852e-11
59.72692665182923,19.578423137270835,0.42589357185350185,106.0,69.23770071283418,5.69,6.398873761770089e-11,2.7300907665094467e-11
62.95606088070725,20.373444666014038,0.4135904862692676,108.0,71.41734313176316,6.32,5.980458912032289e-11,2.6151366009827964e-11
